1,3DCFF11974B3D8458CE3569DE9E855D5,2009,Q1,1457.58,5474.56
2,9DADF88CB3407C4E89403315F640393E,2010,Q1,463.41,1699.18
3,F59C4E62F115684899EAE9B5D5ECF70F,2005,Q4,81.3,81.3
4,35BFFA05321C014B9FC29A189E89EDF0,2007,Q4,794.35,3165.97
6,36C2EC983556E443817033C4032D7BA8,2004,Q4,9166.35,9166.35
7,EFE7DD000667434EAF176CD167145906,2020,Q4,11711.78,52672.9
8,CAA9925066F15646ADA18458B63E019A,2021,Q1,1626.26,6995.21
9,D7BB4503164A6F4F8DF479536B54C607,2007,Q3,343.96,1657.43
10,48145A7CD326714FB375D9F4BF8A9BEC,2018,Q4,0.3,0.3
11,6E26DE101CF4A54CB25F366C1D5B6855,2021,Q1,5618.04,25761.5
12,C0993C184A6F944098E47CC8425B2FC9,2019,Q4,29099.82,115764.73
13,C123E70F73A1C94DB040407D1FD29D57,2009,Q3,1620.41,7048.91
10241,3DCFF11974B3D8458CE3569DE9E855D5,2004,Q4,9823.67,9823.67
20799,D7BB4503164A6F4F8DF479536B54C607,2009,Q2,646.15,2460.34
22863,9DADF88CB3407C4E89403315F640393E,2010,Q3,308.94,1699.18
37548,C123E70F73A1C94DB040407D1FD29D57,2014,Q4,3035.96,11415.64
38102,D7BB4503164A6F4F8DF479536B54C607,2016,Q4,1583.44,5282.94
53470,CAA9925066F15646ADA18458B63E019A,2019,Q3,1485.26,6198.23
56593,3DCFF11974B3D8458CE3569DE9E855D5,2014,Q3,1719.16,9555.82
57993,9DADF88CB3407C4E89403315F640393E,2014,Q4,463.41,1853.65
62540,D7BB4503164A6F4F8DF479536B54C607,2013,Q3,511.91,4428.9
75087,C123E70F73A1C94DB040407D1FD29D57,2015,Q1,3349.96,11755.03
75498,C0993C184A6F944098E47CC8425B2FC9,2019,Q1,28465.25,115764.73
89342,9DADF88CB3407C4E89403315F640393E,2013,Q2,463.41,3073.17
103340,C123E70F73A1C94DB040407D1FD29D57,2019,Q2,3559.75,12743.44
110305,9DADF88CB3407C4E89403315F640393E,2012,Q4,463.41,1853.65
112523,9DADF88CB3407C4E89403315F640393E,2014,Q1,463.41,1853.65
112593,6E26DE101CF4A54CB25F366C1D5B6855,2022,Q1,5095.18,11559.84
120471,6E26DE101CF4A54CB25F366C1D5B6855,2019,Q1,5012.42,25186.78
122521,CAA9925066F15646ADA18458B63E019A,2020,Q3,1601.93,6676.91
124363,C123E70F73A1C94DB040407D1FD29D57,2012,Q3,2216.06,9286.69
142734,CAA9925066F15646ADA18458B63E019A,2022,Q3,2463.04,6827.73
156526,D7BB4503164A6F4F8DF479536B54C607,2017,Q2,1262.65,5347.17
